question,answer
Почему важно понимать различия между deepcopy и copy?,"copy создаёт поверхностную копию, а deepcopy дублирует вложенные объекты; неправильный выбор приводит к неожиданным изменениям данных."
Зачем в Python нужны словари?,Чтобы быстро хранить и находить данные по уникальному ключу с амортизированной сложностью O(1).
Как работает распаковка (*args и **kwargs)?,"*args собирает позиционные аргументы, **kwargs — именованные. Позволяют гибко принимать параметры."
Почему в Python есть глобальная блокировка интерпретатора (GIL)?,"Она обеспечивает потокобезопасность объектов CPython, хотя ограничивает параллелизм CPU-bound задач."
Зачем нужны анонимные функции lambda?,"Чтобы быстро создать простую функцию, не определяя её через def."
Как передать параметры по умолчанию в функцию?,"Указать значения в определении: def f(x, y=10): ..."
Почему str и bytes — разные типы?,"Потому что строки представляют текст в Unicode, а bytes — набор байтов; это важно для работы с сетью и файлами."
Зачем в Python нужен менеджер пакетов pip?,"Чтобы устанавливать, обновлять и удалять внешние библиотеки и управлять зависимостями."
Почему ошибки следует обрабатывать через try-except?,Чтобы программа не завершалась аварийно и можно было корректно реагировать на нестандартные ситуации.
Как вернуть сразу несколько значений из функции?,"Вернуть кортеж: return a, b. Затем распаковать: x, y = f()."
Зачем используется модуль logging вместо print?,"Logging даёт уровни сообщений, форматирование, вывод в файлы и гибкое управление логированием."
Как переопределить метод в наследовании?,Определить метод с тем же именем в дочернем классе. Для вызова родительского использовать super().
Как создать объект класса?,Вызвать класс как функцию: obj = MyClass().
Что делает оператор return?,Возвращает значение из функции и завершает её выполнение.
Что такое self в методах класса?,Ссылка на текущий экземпляр объекта.
Почему список в Python является изменяемым типом данных?,"Потому что его элементы можно изменять, добавлять и удалять без создания нового объекта."
Как работает оператор with?,"Он автоматически управляет ресурсами: открывает и закрывает файлы, блокировки и т.п."
Почему важно закрывать файлы после работы с ними?,Чтобы освободить ресурсы операционной системы и избежать повреждения данных.
Зачем использовать кортеж вместо списка?,Чтобы защитить данные от изменения и использовать кортеж в качестве ключа словаря.
Как обработать несколько исключений?,"Указать несколько except: except (ValueError, TypeError): ..."
Как работает механизм контекстных менеджеров и почему он удобен?,Контекстный менеджер автоматически освобождает ресурсы; конструкция with избавляет от необходимости вручную закрывать файл.
Почему в Python важно понимать разницу между = и ==?,"= выполняет присваивание, а == сравнение; их смешение приводит к логическим ошибкам."
Зачем использовать virtualenv или venv в командной работе?,Чтобы все участники проекта работали с одинаковыми версиями библиотек и среды.
Что делает оператор for?,Перебирает элементы последовательности и выполняет блок кода для каждого элемента.
Что такое аргументы функции?,"Данные, которые передаются функции при её вызове."
Как объявить функцию в Python?,"С помощью ключевого слова def, например: def my_func():"
Почему в Python важно использовать виртуальные окружения?,Чтобы изолировать зависимости проекта и избежать конфликтов версий библиотек между разными проектами.
Что такое исключения в Python?,Механизм обработки ошибок во время выполнения программы.
Что такое PEP 8?,"Официальный стиль-код Python, определяющий правила форматирования кода."
Что такое класс в Python?,"Шаблон для создания объектов, определяющий их свойства и поведение."
Зачем использовать генераторы в Python?,"Они экономят память, создавая элементы по одному и не сохраняя всю коллекцию в памяти."
Как работает list comprehension и почему его используют?,Он создаёт список в одну строку и работает быстрее обычного цикла for благодаря оптимизациям интерпретатора.
Как перехватить исключение?,С помощью конструкции try-except.
Как создать класс с собственным методом?,Использовать ключевое слово class и определить метод с self: class A: def hi(self): print('Hi').
Как работает цикл while?,"Повторяет блок кода, пока условие истинно; завершится, когда условие станет ложным."
Зачем использовать декораторы?,"Чтобы добавлять новое поведение к функциям или методам, не изменяя их исходный код."
Зачем использовать оператор распаковки * при вызове функции?,Чтобы передавать переменное количество аргументов и удобно работать со списками и кортежами.
Почему рекомендуется соблюдать PEP 8?,Потому что общий стиль делает код читаемым и единообразным для всей команды.
